Smiles,MW,LogP,HBA,HBD,PSA,Fsp3,SA,MCE18,NP_Score,Lipinski_Pass,Pfizer_pass,Fsp3_pass,MCE_pass,SA_pass,NP_pass,Final_pass,PAINS,BMS,CHE
CC(=O)OC(C)(C)/C=C/[C@@H](NCC(=O)O)[C@](C)(O)[C@H]1[C@H](O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](C=C(O)C(=O)C4(C)C)[C@]3(C)[C@@H](O)C[C@]12C,617.7800000000002,3.455700000000003,9,6,173.61999999999998,0.7352941176470589,5.768196357876796,48,2.4754670632987685,False,True,True,True,True,True,False,True,True,True
CCC(=O)OC(C)(C)/C=C/[C@@H](NCC(=O)O)[C@](C)(O)[C@H]1[C@H](O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](C=C(O)C(=O)C4(C)C)[C@]3(C)[C@@H](O)C[C@]12C,631.8070000000001,3.8458000000000014,9,6,173.61999999999998,0.7428571428571429,5.806449394057199,48,2.3105337131543955,False,True,True,True,True,True,False,True,True,True
CC(C)(/C=C/[C@@H](NCC(=O)O)[C@](C)(O)[C@H]1[C@H](O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](C=C(O)C(=O)C4(C)C)[C@]3(C)[C@@H](O)C[C@]12C)OC(=O)c1ccccc1,679.8510000000002,4.749600000000003,9,6,173.61999999999998,0.6153846153846154,5.64322466993896,59,2.0288681187519653,False,True,True,True,True,True,False,True,True,True
CC(=O)OC(C)(C)/C=C/[C@@H](N[C@@H](C)C(=O)O)[C@](C)(O)[C@H]1[C@H](O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](C=C(O)C(=O)C4(C)C)[C@]3(C)[C@@H](O)C[C@]12C,631.8070000000001,3.8442000000000025,9,6,173.61999999999998,0.7428571428571429,5.836791042000138,48,2.4265201987141074,False,True,True,True,True,True,False,True,True,True
CCC(=O)OC(C)(C)/C=C/[C@@H](N[C@@H](C)C(=O)O)[C@](C)(O)[C@H]1[C@H](O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](C=C(O)C(=O)C4(C)C)[C@]3(C)[C@@H](O)C[C@]12C,645.8340000000001,4.234300000000003,9,6,173.61999999999998,0.75,5.875556614655534,48,2.263535218482257,False,True,True,True,True,True,False,True,True,True
C[C@H](N[C@H](/C=C/C(C)(C)OC(=O)c1ccccc1)[C@](C)(O)[C@H]1[C@H](O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](C=C(O)C(=O)C4(C)C)[C@]3(C)[C@@H](O)C[C@]12C)C(=O)O,693.8780000000002,5.138100000000005,9,6,173.61999999999998,0.625,5.719084673267852,59,1.9937479195167065,False,True,True,True,True,True,False,True,True,True
CC(=O)OC(C)(C)/C=C/[C@@H](N[C@@H](CO)C(=O)O)[C@](C)(O)[C@H]1[C@H](O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](C=C(O)C(=O)C4(C)C)[C@]3(C)[C@@H](O)C[C@]12C,647.8060000000002,2.816600000000002,10,7,193.85,0.7428571428571429,5.862747768501688,50,2.434458544509963,False,True,True,True,True,True,False,True,True,True
CCC(=O)OC(C)(C)/C=C/[C@@H](N[C@@H](CO)C(=O)O)[C@](C)(O)[C@H]1[C@H](O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](C=C(O)C(=O)C4(C)C)[C@]3(C)[C@@H](O)C[C@]12C,661.8330000000001,3.206700000000001,10,7,193.85,0.75,5.901734818262468,50,2.277416156473623,False,True,True,True,True,True,False,True,True,True
CC(C)(/C=C/[C@@H](N[C@@H](CO)C(=O)O)[C@](C)(O)[C@H]1[C@H](O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](C=C(O)C(=O)C4(C)C)[C@]3(C)[C@@H](O)C[C@]12C)OC(=O)c1ccccc1,709.8770000000003,4.110500000000003,10,7,193.85,0.625,5.753047912958111,61,2.009393727081545,False,True,True,True,True,True,False,True,True,True
CC(=O)OC(C)(C)/C=C/[C@@H](N[C@H](C(=O)O)[C@H](C)O)[C@](C)(O)[C@H]1[C@H](O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](C=C(O)C(=O)C4(C)C)[C@]3(C)[C@@H](O)C[C@]12C,661.8330000000001,3.2051000000000016,10,7,193.85,0.75,5.940524087157284,50,2.373597534689824,False,True,True,True,True,True,False,True,True,True
