,Smiles,MW,LogP,HBA,HBD,PSA,Fsp3,SA,MCE18,NP_Score,Lipinski_Pass,Pfizer_pass,Fsp3_pass,MCE_pass,SA_pass,NP_pass,Final_pass,PAINS,BMS,CHE
27,CC(=O)OC(C)(C)/C=C/[C@@H](NCC(=O)O)[C@](C)(O)[C@H]1C(=O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](C=C(O)C(=O)C4(C)C)[C@]3(C)[C@@H](O)C[C@]12C,615.7640000000002,3.6639000000000017,9,5,170.45999999999998,0.7058823529411765,5.771592171737983,50,2.3078292807569727,True,True,True,True,True,True,True,True,True,True
28,CCC(=O)OC(C)(C)/C=C/[C@@H](NCC(=O)O)[C@](C)(O)[C@H]1C(=O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](C=C(O)C(=O)C4(C)C)[C@]3(C)[C@@H](O)C[C@]12C,629.7910000000002,4.054000000000002,9,5,170.45999999999998,0.7142857142857143,5.808301764802915,50,2.1466212146690844,True,True,True,True,True,True,True,True,True,True
29,CC(C)(/C=C/[C@@H](NCC(=O)O)[C@](C)(O)[C@H]1C(=O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](C=C(O)C(=O)C4(C)C)[C@]3(C)[C@@H](O)C[C@]12C)OC(=O)c1ccccc1,677.8350000000003,4.957800000000004,9,5,170.45999999999998,0.5897435897435898,5.639205673108018,61,1.878336232387904,True,True,True,True,True,True,True,True,True,True
30,CC(=O)OC(C)(C)/C=C/[C@@H](N[C@@H](C)C(=O)O)[C@](C)(O)[C@H]1C(=O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](C=C(O)C(=O)C4(C)C)[C@]3(C)[C@@H](O)C[C@]12C,629.7910000000002,4.052400000000002,9,5,170.45999999999998,0.7142857142857143,5.844139425147359,50,2.2626077002287963,True,True,True,True,True,True,True,True,True,True
31,CCC(=O)OC(C)(C)/C=C/[C@@H](N[C@@H](C)C(=O)O)[C@](C)(O)[C@H]1C(=O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](C=C(O)C(=O)C4(C)C)[C@]3(C)[C@@H](O)C[C@]12C,643.8180000000001,4.4425000000000034,9,5,170.45999999999998,0.7222222222222222,5.881413222654826,50,2.103186035181409,True,True,True,True,True,True,True,True,True,True
42,CC(=O)OC(C)(C)/C=C/[C@@H](N[C@H](C(=O)O)C(C)C)[C@](C)(O)[C@H]1C(=O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](C=C(O)C(=O)C4(C)C)[C@]3(C)[C@@H](O)C[C@]12C,657.8450000000001,4.688500000000004,9,5,170.45999999999998,0.7297297297297297,5.845286593425664,50,2.1397841544633858,True,True,True,True,True,True,True,True,True,True
51,CSCC[C@H](N[C@H](/C=C/C(C)(C)OC(C)=O)[C@](C)(O)[C@H]1C(=O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](C=C(O)C(=O)C4(C)C)[C@]3(C)[C@@H](O)C[C@]12C)C(=O)O,689.9120000000001,4.785600000000003,10,5,170.45999999999998,0.7297297297297297,5.879514272089933,52,1.986383617097465,True,True,True,True,True,True,True,True,True,True
54,CC(=O)O[C@@H]1C[C@@]2(C)[C@@H]3CC=C4[C@@H](C=C(O)C(=O)C4(C)C)[C@]3(C)[C@@H](O)C[C@]2(C)[C@H]1[C@@](C)(O)[C@@H](/C=C/C(C)(C)OC(C)=O)NCC(=O)O,659.8170000000002,4.026500000000002,10,5,179.69,0.7222222222222222,5.817295872790839,52,2.383148808113315,True,True,True,True,True,True,True,True,True,True
55,CCC(=O)OC(C)(C)/C=C/[C@@H](NCC(=O)O)[C@](C)(O)[C@H]1[C@H](OC(C)=O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](C=C(O)C(=O)C4(C)C)[C@]3(C)[C@@H](O)C[C@]12C,673.844,4.4166000000000025,10,5,179.68999999999997,0.7297297297297297,5.856956030331691,52,2.286939781438579,True,True,True,True,True,True,True,True,True,True
57,CC(=O)O[C@@H]1C[C@@]2(C)[C@@H]3CC=C4[C@@H](C=C(O)C(=O)C4(C)C)[C@]3(C)[C@@H](O)C[C@]2(C)[C@H]1[C@@](C)(O)[C@@H](/C=C/C(C)(C)OC(C)=O)N[C@H](C)C(=O)O,673.8440000000003,4.415000000000003,10,5,179.69,0.7297297297297297,5.888295066288444,52,2.339184419548226,True,True,True,True,True,True,True,True,True,True
